output,species,region,triangles,nt_sum,eirene_sum,sum_ratio,median_ratio,p10_ratio,p90_ratio
hpc_latest_5,D,global,8010,4.623175772661165e+21,5.675251675988759e+21,0.8146203968752984,0.8816659382358789,0.13508351751254538,1.9257333023909222
hpc_latest_5,D,|Z|<0.02,88,1.29694536052e+17,3.9555433587e+17,0.3278804560863781,0.41816451723476067,0.10732677744820181,2.013051513337503
hpc_latest_5,D,|Z|<0.05,221,3.63243199041e+17,9.2532254927e+17,0.392558464426883,0.5754232530114982,0.13458662222082454,3.6781460761534004
hpc_latest_5,D,|Z|<0.10,458,7.179938759217e+17,1.893121859747e+18,0.3792644790534793,0.4710789949723233,0.12401031985020733,3.1422369814913864
hpc_latest_5,D2,global,5871,3.046987283982357e+21,1.5209905652908554e+21,2.003291377024215,1.7419046303282784,0.0,6.073210045582959
hpc_latest_5,D2,|Z|<0.02,55,3.5797718319e+17,2.329947471826379e+17,1.5364173978969233,1.300683142858289,0.0,2.9913011886528675
hpc_latest_5,D2,|Z|<0.05,124,8.2644155489e+17,5.639147195560378e+17,1.4655435054801298,0.8189751916547918,0.0,4.004987561703825
hpc_latest_5,D2,|Z|<0.10,289,1.8204412109028e+18,1.1015493328529549e+18,1.6526188674527658,0.8110744954033092,0.0,4.835740474256921
local_c0916ff_5e19,D,global,8010,5.605422013059895e+21,5.675251675988759e+21,0.9876957592516462,0.6245234545227284,0.05099175606991931,1.3403241502593364
local_c0916ff_5e19,D,|Z|<0.02,88,8.8431261297e+16,3.9555433587e+17,0.22356286678668383,0.1747967380621552,0.01646269367389194,0.8209490572283314
local_c0916ff_5e19,D,|Z|<0.05,221,2.18664843241e+17,9.2532254927e+17,0.2363120226709138,0.21985219352127766,0.022702401412048864,1.0603805569163536
local_c0916ff_5e19,D,|Z|<0.10,458,5.72728755794e+17,1.893121859747e+18,0.3025313731629196,0.28802755182097484,0.02750429227928826,1.2728948967445821
local_c0916ff_5e19,D2,global,5871,1.2050179357044255e+21,1.5209905652908554e+21,0.7922586524880861,0.30088758325553777,0.0,1.2213478846358783
local_c0916ff_5e19,D2,|Z|<0.02,55,1.03166234829e+17,2.329947471826379e+17,0.4427835222745642,0.18620211428596992,0.0031919428020201735,28.411665354511516
local_c0916ff_5e19,D2,|Z|<0.05,124,2.37655812258e+17,5.639147195560378e+17,0.4214392779906563,0.2135486274498518,0.0,22.97920275826827
local_c0916ff_5e19,D2,|Z|<0.10,289,4.924110926819e+17,1.1015493328529549e+18,0.44701683165345046,0.16264383250356354,0.0,1.9233422078746654
local_normalfix_5e19,D,global,8010,5.500579899839307e+21,5.675251675988759e+21,0.9692221973364696,0.6079537671027255,0.035481446991849366,1.2691452664533125
local_normalfix_5e19,D,|Z|<0.02,88,1.41868594095e+17,3.9555433587e+17,0.3586576640171769,0.39937474990984456,0.02886724153290069,0.995460784865233
local_normalfix_5e19,D,|Z|<0.05,221,3.07835142435e+17,9.2532254927e+17,0.3326787428641564,0.378450970263346,0.014595767886741818,1.6586066859405337
local_normalfix_5e19,D,|Z|<0.10,458,7.08073727181e+17,1.893121859747e+18,0.3740243785868217,0.39196314011936406,0.012822923343091366,1.846542368884846
local_normalfix_5e19,D2,global,5871,1.1567878983337564e+21,1.5209905652908554e+21,0.7605490295152137,0.31721828504392663,0.0,1.231113182955486
local_normalfix_5e19,D2,|Z|<0.02,55,1.31180753255e+17,2.329947471826379e+17,0.5630202175852967,0.07548938882838854,0.0,1.089543651742648
local_normalfix_5e19,D2,|Z|<0.05,124,2.77560692593e+17,5.639147195560378e+17,0.49220331189708905,0.044274406965317384,0.0,1.0426705732333086
local_normalfix_5e19,D2,|Z|<0.10,289,6.12967149216e+17,1.1015493328529549e+18,0.5564590989569639,0.020786977028875928,0.0,1.1761407023117965
