# Electric potential (V)/(m) (d/dx)  
          -1          -1           0  -51.8213735043327     
           0          -1           0   6.41220918318528     
           1          -1           0   39.8152769864310     
           2          -1           0   42.4370121807184     
           3          -1           0   36.7104777894775     
           4          -1           0   30.7133663987075     
           5          -1           0   27.1549680200651     
           6          -1           0   23.2601676944750     
           7          -1           0   18.6059638381388     
           8          -1           0   15.3247651647743     
           9          -1           0   12.2351336286304     
          10          -1           0   10.3029652557328     
          11          -1           0   8.13795323510340     
          12          -1           0   3.50830183598776     
          13          -1           0  0.512016540735677     
          14          -1           0  -1.01661936128705     
          15          -1           0  -2.01688737335137     
          16          -1           0  -2.71804899072089     
          17          -1           0  -3.11773197750682     
          18          -1           0  -4.25565219036551     
          19          -1           0  -6.69596453899374     
          20          -1           0  -7.99695379182778     
          21          -1           0  -8.19650069189868     
          22          -1           0  -8.07138860900682     
          23          -1           0  -3.61533612041553     
          24          -1           0   3.63487042424126     
          25          -1           0   1.25886300491408     
          26          -1           0  -1.36979951833235     
          27          -1           0  -3.24743140379214     
          28          -1           0  -3.89432990413777     
          29          -1           0  -3.71198864948174     
          30          -1           0  -3.11106563513366     
          31          -1           0  -2.30169433646288     
          32          -1           0  -1.39670591622155     
          33          -1           0 -0.477261432972729     
          34          -1           0  0.389226347674664     
          35          -1           0   1.14111502008191     
          36          -1           0   1.70544373316822     
          37          -1           0   1.98735619887289     
          38          -1           0   1.82852554420549     
          39          -1           0   1.10206767569034     
          40          -1           0 -0.155872798398423     
          41          -1           0  -1.77510011562694     
          42          -1           0  -3.37259016013298     
          43          -1           0  -4.48572536613849     
          44          -1           0  -4.91548037250385     
          45          -1           0  -4.71127671877934     
          46          -1           0  -4.09938427664558     
          47          -1           0  -3.32125761653079     
          48          -1           0  -2.51950618669451     
          49          -1           0  -1.76687021436331     
          50          -1           0  -1.09049510732645     
          51          -1           0 -0.538961098794049     
          52          -1           0 -0.175961934248605     
          53          -1           0 -1.103496762494560E-002
          54          -1           0 -2.704102307040665E-002
          55          -1           0 -0.179587810712213     
          56          -1           0 -0.388546010021844     
          57          -1           0 -0.557227396516114     
          58          -1           0 -0.594843747556527     
          59          -1           0 -0.459754908662335     
          60          -1           0 -0.136117824143189     
          61          -1           0  0.391882998470465     
          62          -1           0   1.11596269805632     
          63          -1           0   2.00737615640592     
          64          -1           0   3.05495024906352     
          65          -1           0   4.26170099944136     
          66          -1           0   5.60076239029002     
          67          -1           0   6.92916577749980     
          68          -1           0   7.83675330242661     
          69          -1           0   7.66390252544382     
          70          -1           0   6.28292096607204     
          71          -1           0   4.62197464229226     
          72          -1           0   2.98097974252012     
          73          -1           0   6.56360243665290     
          74          -1           0   8.31437953900777     
          75          -1           0   9.41498408170261     
          76          -1           0   10.2949540434053     
          77          -1           0   10.9223649196685     
          78          -1           0   10.0562558413663     
          79          -1           0   8.13797609735554     
          80          -1           0   6.63340870115749     
          81          -1           0   5.11448380057845     
          82          -1           0   3.10022437146533     
          83          -1           0   1.26461073960531     
          84          -1           0 -0.472476759544724     
          85          -1           0  -2.84612854973879     
          86          -1           0  -5.53515224415354     
          87          -1           0  -8.41554729784871     
          88          -1           0  -12.1610902690966     
          89          -1           0  -16.6173484582801     
          90          -1           0  -22.3634009730854     
          91          -1           0  -29.0614344969553     
          92          -1           0  -36.2576547265271     
          93          -1           0  -45.4059526762756     
          94          -1           0  -61.9659574148445     
          95          -1           0  -38.4375128559112     
          96          -1           0   31.5517965452479     
          -1           0           0   37.6756105554791     
           0           0           0   59.4147975251349     
           1           0           0   66.1867766895259     
           2           0           0   57.9294473782679     
           3           0           0   48.8889890808513     
           4           0           0   41.7043236033717     
           5           0           0   37.0569096306034     
           6           0           0   32.5135088388426     
           7           0           0   27.6671345612553     
           8           0           0   23.7113082733382     
           9           0           0   20.1484189685054     
          10           0           0   17.1213672976360     
          11           0           0   14.1022019586526     
          12           0           0   10.1211288171480     
          13           0           0   7.22164878990283     
          14           0           0   5.54332612021601     
          15           0           0   4.63487071147780     
          16           0           0   3.77465926830081     
          17           0           0   2.38985305434318     
          18           0           0  0.360048710617660     
          19           0           0  -1.44449809085734     
          20           0           0  -2.18282466905708     
          21           0           0  -3.14440878737704     
          22           0           0  -3.48321631697894     
          23           0           0 -0.606506647432772     
          24           0           0 -0.813495953801252     
          25           0           0 -0.557316741032372     
          26           0           0 -0.215991962777103     
          27           0           0  0.105584615344184     
          28           0           0  0.268037594653352     
          29           0           0  0.307862536918154     
          30           0           0  0.281229421650083     
          31           0           0  0.222557659141760     
          32           0           0  0.155542557591444     
          33           0           0  8.324014174918783E-002
          34           0           0  1.506851536744595E-003
          35           0           0 -1.056967466144099E-002
          36           0           0 -3.484242256426234E-002
          37           0           0 -5.591274873591412E-002
          38           0           0  1.138147946511497E-002
          39           0           0  0.185005001812363     
          40           0           0  0.452403844240584     
          41           0           0  0.659734432850869     
          42           0           0  0.750568560507501     
          43           0           0  0.775837437804520     
          44           0           0  0.729623751465820     
          45           0           0  0.610009520578148     
          46           0           0  0.433123120100277     
          47           0           0  0.252527018030756     
          48           0           0  0.152667762245640     
          49           0           0  0.109620534154952     
          50           0           0  5.467525146136281E-002
          51           0           0  2.565952833443685E-002
          52           0           0  3.678679263626512E-002
          53           0           0  5.769706167221773E-002
          54           0           0  3.692216572261933E-002
          55           0           0 -1.202836805723981E-002
          56           0           0 -7.138525098964238E-002
          57           0           0 -0.152398721365451     
          58           0           0 -0.217257470660887     
          59           0           0 -0.270121021064460     
          60           0           0 -0.254111644738278     
          61           0           0 -0.164462828536120     
          62           0           0 -9.284450226203793E-002
          63           0           0 -3.314880991125789E-002
          64           0           0 -5.541519973002627E-002
          65           0           0 -0.194934821556182     
          66           0           0 -0.338996392791737     
          67           0           0 -0.611193629582822     
          68           0           0 -0.887655884562991     
          69           0           0  -1.08081645197762     
          70           0           0  -1.38591368711543     
          71           0           0  -1.50205828107860     
          72           0           0   3.26930619878413     
          73           0           0   5.50151572862429     
          74           0           0   6.77056855870453     
          75           0           0   7.72786222307080     
          76           0           0   8.65632188060795     
          77           0           0   9.14491022615043     
          78           0           0   8.09673598777226     
          79           0           0   6.13161950919950     
          80           0           0   4.33984838724269     
          81           0           0   2.41268920522134     
          82           0           0  0.107855480667102     
          83           0           0  -2.05880680922648     
          84           0           0  -4.41175301247343     
          85           0           0  -7.23729310660070     
          86           0           0  -10.1850256809816     
          87           0           0  -13.6075265997753     
          88           0           0  -17.9260191937432     
          89           0           0  -23.1516494652661     
          90           0           0  -30.0091086799276     
          91           0           0  -37.7094643111728     
          92           0           0  -45.9578748890725     
          93           0           0  -56.5687978032119     
          94           0           0  -76.4140607270500     
          95           0           0  -75.5735370735220     
          96           0           0  -45.8862499286476     
          -1           1           0   37.2358582332482     
           0           1           0   63.8019044325378     
           1           1           0   72.7144668121392     
           2           1           0   63.6291079835525     
           3           1           0   53.5724027786481     
           4           1           0   45.4582314378324     
           5           1           0   40.0024547408473     
           6           1           0   35.1324145888734     
           7           1           0   29.8620784583649     
           8           1           0   25.1163509658348     
           9           1           0   21.1051822865837     
          10           1           0   17.2860528591758     
          11           1           0   14.3752948091869     
          12           1           0   11.3015273524434     
          13           1           0   8.46108547531338     
          14           1           0   6.75399032903898     
          15           1           0   6.31257813009964     
          16           1           0   5.40541785520895     
          17           1           0   3.39542800519185     
          18           1           0  0.913990939603285     
          19           1           0 -0.128622159333238     
          20           1           0 -0.234560522324431     
          21           1           0  -1.72957858688237     
          22           1           0  -3.08020660401117     
          23           1           0  -1.65761661954468     
          24           1           0 -0.441689536857744     
          25           1           0 -0.564935096937997     
          26           1           0 -0.552519363000711     
          27           1           0 -0.481316606707217     
          28           1           0 -0.443957356790350     
          29           1           0 -0.316124557955833     
          30           1           0 -0.200323580956412     
          31           1           0 -0.164770963347292     
          32           1           0 -0.121436719895139     
          33           1           0 -8.625001492576202E-002
          34           1           0 -6.382227830855186E-003
          35           1           0  0.100879329079745     
          36           1           0  0.148124234573952     
          37           1           0  0.194729828616229     
          38           1           0  0.267286784926096     
          39           1           0  0.385632724667834     
          40           1           0  0.533787995042822     
          41           1           0  0.607986133076121     
          42           1           0  0.558430803961904     
          43           1           0  0.461172233608746     
          44           1           0  0.408630792782882     
          45           1           0  0.376024925489380     
          46           1           0  0.329052122203675     
          47           1           0  0.257723315302238     
          48           1           0  0.197948718678122     
          49           1           0  0.188084647301401     
          50           1           0  0.133759861180526     
          51           1           0  9.910181935771425E-002
          52           1           0  0.118779657471376     
          53           1           0  0.121137290762752     
          54           1           0  9.800917301122286E-002
          55           1           0  5.500808455333388E-002
          56           1           0 -2.055895120772519E-003
          57           1           0 -0.148953032839116     
          58           1           0 -0.293375201017374     
          59           1           0 -0.311310377176496     
          60           1           0 -0.244424741482036     
          61           1           0 -0.168019809407071     
          62           1           0 -7.420159469522700E-002
          63           1           0  1.812495286184729E-002
          64           1           0  1.326842800232569E-002
          65           1           0 -5.504736126357055E-002
          66           1           0 -9.749057155661320E-002
          67           1           0 -0.215473726621606     
          68           1           0 -0.282326975136713     
          69           1           0 -0.251417366142218     
          70           1           0 -0.445870352067269     
          71           1           0 -0.672660935427408     
          72           1           0   2.97572069419715     
          73           1           0   5.04281170481964     
          74           1           0   5.25665901943140     
          75           1           0   6.38049683922514     
          76           1           0   7.76144825041130     
          77           1           0   8.20301279005409     
          78           1           0   7.13634486125151     
          79           1           0   5.41305537355384     
          80           1           0   3.57520630942402     
          81           1           0   1.49985848914094     
          82           1           0 -0.843924485389432     
          83           1           0  -3.09584579086238     
          84           1           0  -5.64729233647382     
          85           1           0  -8.35511764175459     
