# Electric potential (V)/(m) (d/dy)  
          -1          -1           0  -2.25739605535724     
           0          -1           0   2.20627358833569     
           1          -1           0   2.95549498113378     
           2          -1           0   3.25840972216242     
           3          -1           0   3.40262074924697     
           4          -1           0   3.49399778508220     
           5          -1           0   3.57757919630057     
           6          -1           0   3.64137154201988     
           7          -1           0   3.66248861835923     
           8          -1           0   3.64965040886183     
           9          -1           0   3.60662696595088     
          10          -1           0   3.53825462017373     
          11          -1           0   3.68323607121090     
          12          -1           0   3.95968751918297     
          13          -1           0   4.04305194976563     
          14          -1           0   4.03566913559548     
          15          -1           0   4.00769949622256     
          16          -1           0   3.98809766938027     
          17          -1           0   3.99459357103493     
          18          -1           0   4.01060546705382     
          19          -1           0   4.00693975913389     
          20          -1           0   4.01281861966388     
          21          -1           0   4.03897418185962     
          22          -1           0   3.97558149576865     
          23          -1           0   3.72932857057892     
          24          -1           0  -924.599877706681     
          25          -1           0  -973.932773414550     
          26          -1           0  -1044.88320282010     
          27          -1           0  -1079.44132942819     
          28          -1           0  -1030.15030679000     
          29          -1           0  -914.445798308886     
          30          -1           0  -781.002532778720     
          31          -1           0  -666.098505150963     
          32          -1           0  -590.276004071637     
          33          -1           0  -560.269333768154     
          34          -1           0  -581.603454370058     
          35          -1           0  -642.862105872296     
          36          -1           0  -732.346380434722     
          37          -1           0  -815.380202162145     
          38          -1           0  -871.024092332410     
          39          -1           0  -884.042431234602     
          40          -1           0  -861.455178085977     
          41          -1           0  -817.272690091439     
          42          -1           0  -758.889363305763     
          43          -1           0  -659.745166447314     
          44          -1           0  -490.518711735492     
          45          -1           0  -261.356983018477     
          46          -1           0  0.428587919302048     
          47          -1           0   258.530224877849     
          48          -1           0   476.573852581405     
          49          -1           0   629.687475879492     
          50          -1           0   697.742206069748     
          51          -1           0   700.705961652982     
          52          -1           0   656.899106806955     
          53          -1           0   591.412148654589     
          54          -1           0   526.539512257706     
          55          -1           0   498.602612191726     
          56          -1           0   509.307154691112     
          57          -1           0   563.456689157671     
          58          -1           0   649.051957508939     
          59          -1           0   747.087093066930     
          60          -1           0   826.434721600205     
          61          -1           0   842.083502268113     
          62          -1           0   783.192678899348     
          63          -1           0   629.368015007021     
          64          -1           0   378.549206311810     
          65          -1           0   70.3862898551907     
          66          -1           0  -264.616990531676     
          67          -1           0  -574.717528882745     
          68          -1           0  -790.828085659472     
          69          -1           0  -891.805954167494     
          70          -1           0  -914.398065549795     
          71          -1           0  -915.667720412742     
          72          -1           0   3.36875391842460     
          73          -1           0   2.78053588480700     
          74          -1           0   2.02582256564068     
          75          -1           0   1.37201791936644     
          76          -1           0  0.994907411311623     
          77          -1           0  0.944101799916844     
          78          -1           0  0.926984314717601     
          79          -1           0  0.810302042651261     
          80          -1           0  0.681953215300991     
          81          -1           0  0.607644863862813     
          82          -1           0  0.638155551725332     
          83          -1           0  0.691459377981582     
          84          -1           0  0.745735595023591     
          85          -1           0  0.836463395092244     
          86          -1           0   1.00782099663532     
          87          -1           0   1.04852148588663     
          88          -1           0   1.10634313091305     
          89          -1           0   1.19103702868754     
          90          -1           0   1.30542539963315     
          91          -1           0   1.46400168941326     
          92          -1           0   1.79842695985846     
          93          -1           0   2.24902238815670     
          94          -1           0   2.84758736309308     
          95          -1           0   3.97017851621848     
          96          -1           0   1.77207038551109     
          -1           0           0  -2.12021460694020     
           0           0           0 -0.892143745666875     
           1           0           0 -0.937166540821859     
           2           0           0  -1.10124793699393     
           3           0           0  -1.30436851331787     
           4           0           0  -1.46290278274175     
           5           0           0 -0.157483606453038     
           6           0           0   2.13699258926865     
           7           0           0   3.36360132018792     
           8           0           0   4.13317117563204     
           9           0           0   4.81075136966540     
          10           0           0   5.48004320201428     
          11           0           0   4.55981119326727     
          12           0           0   2.32988201484016     
          13           0           0   1.28886446479202     
          14           0           0  0.761507757705349     
          15           0           0  0.231395568920608     
          16           0           0 -0.444360080258280     
          17           0           0 -0.260042363817884     
          18           0           0  0.111713402866173     
          19           0           0  0.863759182068809     
          20           0           0   2.73985274367801     
          21           0           0   3.62869032636216     
          22           0           0   4.26250613872083     
          23           0           0   5.29388050274692     
          24           0           0  -300.830015483578     
          25           0           0  -318.834845701449     
          26           0           0  -349.841434325516     
          27           0           0  -373.402586447636     
          28           0           0  -373.199384619796     
          29           0           0  -351.316309164516     
          30           0           0  -319.908355193099     
          31           0           0  -291.957994490732     
          32           0           0  -273.323437946420     
          33           0           0  -264.551535850662     
          34           0           0  -269.339138309155     
          35           0           0  -283.873336596235     
          36           0           0  -305.551474103446     
          37           0           0  -322.879149132245     
          38           0           0  -329.825580307423     
          39           0           0  -324.269745452158     
          40           0           0  -309.576854028805     
          41           0           0  -291.806927537060     
          42           0           0  -272.746751759358     
          43           0           0  -242.580852914192     
          44           0           0  -187.917790297223     
          45           0           0  -109.917851617151     
          46           0           0  -18.1228961835586     
          47           0           0   74.7111925285075     
          48           0           0   156.184481050161     
          49           0           0   214.534373365643     
          50           0           0   244.212058769794     
          51           0           0   252.133023135708     
          52           0           0   245.207001882661     
          53           0           0   226.937800574165     
          54           0           0   207.816661819817     
          55           0           0   201.948283218248     
          56           0           0   206.654130960671     
          57           0           0   226.987964343750     
          58           0           0   256.737087143617     
          59           0           0   288.651764187469     
          60           0           0   315.113055975109     
          61           0           0   318.348659474124     
          62           0           0   294.920588036108     
          63           0           0   236.736877020855     
          64           0           0   148.207423692936     
          65           0           0   38.6234100756485     
          66           0           0  -80.9018489818329     
          67           0           0  -188.444599652505     
          68           0           0  -261.292115179728     
          69           0           0  -292.954332691534     
          70           0           0  -297.639402270000     
          71           0           0  -296.959021914925     
          72           0           0   5.19711616210432     
          73           0           0   3.18552097692129     
          74           0           0   2.16191795461312     
          75           0           0   1.16496230757969     
          76           0           0   1.15141076086067     
          77           0           0   2.13664975328308     
          78           0           0   2.33208050742289     
          79           0           0   2.20705094760059     
          80           0           0   2.15492262889169     
          81           0           0   2.13496487936824     
          82           0           0   2.12781585085772     
          83           0           0   2.10994255308583     
          84           0           0   2.08771490665147     
          85           0           0   2.02610778001540     
          86           0           0   1.98305209800135     
          87           0           0   1.91602708840452     
          88           0           0   1.85737568155831     
          89           0           0   1.81525331711999     
          90           0           0   1.84496279900132     
          91           0           0   1.77146213938945     
          92           0           0   1.64001793683014     
          93           0           0   1.54753382004782     
          94           0           0   1.36790938826268     
          95           0           0  0.605132293385006     
          96           0           0 -8.154419965900235E-002
          -1           1           0  -1.70847357442520     
           0           1           0  -1.80002497452235     
           1           1           0  -1.50930130875692     
           2           1           0  -1.49518862733058     
           3           1           0  -1.61887745068460     
           4           1           0  -1.75917717297578     
           5           1           0  -1.13584974473721     
           6           1           0 -1.528660853490171E-002
           7           1           0   1.31136975942589     
           8           1           0   2.96219616792366     
           9           1           0   3.93397221279974     
          10           1           0   4.57268088262416     
          11           1           0   4.06178043422144     
          12           1           0   2.58329148988870     
          13           1           0   1.73200017790394     
          14           1           0   1.12077726724819     
          15           1           0  0.538510919488268     
          16           1           0   1.48524099689370     
          17           1           0   3.61360265784128     
          18           1           0   4.48323980436657     
          19           1           0   4.56186176511313     
          20           1           0   4.40505712545419     
          21           1           0   4.39421436739679     
          22           1           0   4.68159558607051     
          23           1           0   5.37239146557852     
          24           1           0   21.4828850486054     
          25           1           0   21.6930912789730     
          26           1           0   20.3052501701046     
          27           1           0   15.6849004441322     
          28           1           0   5.90518997956371     
          29           1           0  -6.81225674320264     
          30           1           0  -18.3854076090508     
          31           1           0  -28.4085452258528     
          32           1           0  -35.4875869791609     
          33           1           0  -38.2954533719079     
          34           1           0  -37.3443585167460     
          35           1           0  -34.5901704937409     
          36           1           0  -29.0596201456722     
          37           1           0  -21.8404155487692     
          38           1           0  -14.0801562022567     
          39           1           0  -8.72336309806477     
          40           1           0  -5.48474387218920     
          41           1           0  -5.70318590152903     
          42           1           0  -8.43802549931980     
          43           1           0  -13.0619598216861     
          44           1           0  -18.5492469714093     
          45           1           0  -22.2895115772215     
          46           1           0  -23.9757566513352     
          47           1           0  -23.6353947719696     
          48           1           0  -20.4965904787161     
          49           1           0  -18.5639693369999     
          50           1           0  -12.6026608853056     
          51           1           0  -5.65354393318866     
          52           1           0  0.957470541921335     
          53           1           0   4.36032971654680     
          54           1           0   8.07080635976928     
          55           1           0   11.4023382339114     
          56           1           0   13.1774881497639     
          57           1           0   16.1609313097425     
          58           1           0   17.7714209129547     
          59           1           0   17.8669620484990     
          60           1           0   17.3526373469042     
          61           1           0   18.7775493158873     
          62           1           0   19.1005540387446     
          63           1           0   17.5619178328750     
          64           1           0   18.7747590531331     
          65           1           0   18.4706140878604     
          66           1           0   17.7420227691702     
          67           1           0   18.4096765616085     
          68           1           0   20.1839134360619     
          69           1           0   21.1960953004922     
          70           1           0   21.5537921771671     
          71           1           0   21.7428941940356     
          72           1           0   5.42767668634186     
          73           1           0   4.36985242078314     
          74           1           0   3.88465093811571     
          75           1           0   3.28675954650048     
          76           1           0   3.43399245597754     
          77           1           0   4.19907223193968     
          78           1           0   4.36218676468720     
          79           1           0   4.46491452189467     
          80           1           0   4.51783810451316     
          81           1           0   4.57688431379180     
          82           1           0   4.61043727044929     
          83           1           0   4.58463171336324     
          84           1           0   4.52836044595196     
          85           1           0   4.43230410431340     
          86           1           0   4.29987443673792     
          87           1           0   4.15391137143228     
          88           1           0   4.02585694303423     
          89           1           0   3.91958425840291     
          90           1           0   3.80324041335064     
          91           1           0   3.64586762777199     
          92           1           0   3.42465506451451     
          93           1           0   3.08671159044411     
          94           1           0   2.51500895022809     
          95           1           0  0.853338080716583     
          96           1           0  0.769351649529321     
          -1           2           0 -0.302664524573135     
           0           2           0 -0.477182038837646     
           1           2           0   1.44968707237902     
           2           2           0   2.28543992885380     
           3           2           0   2.57100707102820     
           4           2           0   2.63764144883132     
           5           2           0   2.00484227460431     
