# Electric potential (V)/(m) (d/dx)  
          -1          -1           0  -1.25999517994529     
           0          -1           0   23.2009665181065     
           1          -1           0   25.2103042644817     
           2          -1           0   10.9089725227365     
           3          -1           0   4.46345319833893     
           4          -1           0   2.03142071730116     
           5          -1           0   1.10363039795271     
           6          -1           0   4.52432265971864     
           7          -1           0   11.0771074586216     
           8          -1           0   11.3587830346853     
           9          -1           0   6.07564508699337     
          10          -1           0   2.33312724525701     
          11          -1           0  0.773301882365334     
          12          -1           0  0.170495931445275     
          13          -1           0 -0.199543980326434     
          14          -1           0 -0.813024667347265     
          15          -1           0  0.122423410529152     
          16          -1           0   1.96140053358856     
          17          -1           0   1.32022207743424     
          18          -1           0  0.337895044406582     
          19          -1           0  0.529465788992306     
          20          -1           0  0.663063215708848     
          21          -1           0  0.937791200883421     
          22          -1           0  0.476554787895953     
          23          -1           0  1.560519319966195E-002
          24          -1           0   3.27880681653685     
          25          -1           0 -0.101572032893795     
          26          -1           0  -3.68115672767256     
          27          -1           0  -6.02362784062373     
          28          -1           0  -6.59999050256570     
          29          -1           0  -5.95250988478312     
          30          -1           0  -4.67805317101808     
          31          -1           0  -3.14713004800529     
          32          -1           0  -1.55670271849031     
          33          -1           0 -5.459815418403606E-002
          34          -1           0   1.31400649811797     
          35          -1           0   2.52126923372195     
          36          -1           0   3.40720873222567     
          37          -1           0   3.73838955586109     
          38          -1           0   3.27901447972787     
          39          -1           0   1.79813824731184     
          40          -1           0 -0.669285773471329     
          41          -1           0  -3.55517084225726     
          42          -1           0  -5.89889043271861     
          43          -1           0  -7.11025995831244     
          44          -1           0  -7.15326348487314     
          45          -1           0  -6.37579251446718     
          46          -1           0  -5.23093920500523     
          47          -1           0  -3.98403795296958     
          48          -1           0  -2.77946320972359     
          49          -1           0  -1.69639761976436     
          50          -1           0 -0.767974139161297     
          51          -1           0 -3.644253236007606E-002
          52          -1           0  0.454337566812673     
          53          -1           0  0.648711080559890     
          54          -1           0  0.496256306000369     
          55          -1           0  5.583552503265885E-002
          56          -1           0 -0.470340284064177     
          57          -1           0 -0.885666108572182     
          58          -1           0  -1.02948207102430     
          59          -1           0 -0.813677722033112     
          60          -1           0 -0.258104252420897     
          61          -1           0  0.574982745700810     
          62          -1           0   1.63742897319049     
          63          -1           0   2.92569600939620     
          64          -1           0   4.43275942706396     
          65          -1           0   6.16361166495350     
          66          -1           0   8.06004525920986     
          67          -1           0   9.81592908272096     
          68          -1           0   10.7818286726787     
          69          -1           0   10.0726225751734     
          70          -1           0   7.64750238359291     
          71          -1           0   4.87057388265461     
          72          -1           0  0.509573843019240     
          73          -1           0  0.801493013135151     
          74          -1           0  0.604855568085646     
          75          -1           0  0.464229651604387     
          76          -1           0  0.340985240067802     
          77          -1           0  0.201078380449011     
          78          -1           0  0.142770192481992     
          79          -1           0  5.033687712809402E-002
          80          -1           0 -8.603705223832096E-002
          81          -1           0 -0.285953384807878     
          82          -1           0 -0.523446604630457     
          83          -1           0 -0.728686583860820     
          84          -1           0 -0.873876146142084     
          85          -1           0  -1.03696199686661     
          86          -1           0  -1.19183602438022     
          87          -1           0  -1.28970271283580     
          88          -1           0  -1.43015870432540     
          89          -1           0  -1.65379936640565     
          90          -1           0  -1.94067634835156     
          91          -1           0  -2.44804969543433     
          92          -1           0  -3.60133627329966     
          93          -1           0  -5.99062154787487     
          94          -1           0  -12.4964188313956     
          95          -1           0  -11.5102643581340     
          96          -1           0  6.566548017117599E-002
          -1           0           0  -2.44184232109320     
           0           0           0   22.1902954281740     
           1           0           0   24.6241544427638     
           2           0           0   10.7223116426396     
           3           0           0   4.39370670073078     
           4           0           0   2.00814156215461     
           5           0           0   1.09893883849993     
           6           0           0   4.45913429689297     
           7           0           0   10.9030181117242     
           8           0           0   11.1806590330637     
           9           0           0   5.98203800780054     
          10           0           0   2.29893649985106     
          11           0           0  0.767242341191832     
          12           0           0  0.178223013266464     
          13           0           0 -0.187802062375326     
          14           0           0 -0.795701039085295     
          15           0           0  0.122116511047720     
          16           0           0   1.93729580399896     
          17           0           0   1.30990878545477     
          18           0           0  0.339144893342832     
          19           0           0  0.530071044442352     
          20           0           0  0.673419666835480     
          21           0           0  0.956312102458507     
          22           0           0  0.495064585504913     
          23           0           0  2.094685593357870E-002
          24           0           0 -0.780492856975200     
          25           0           0 -0.598324728791019     
          26           0           0 -0.131543454957045     
          27           0           0  0.353160304161660     
          28           0           0  0.682603886653106     
          29           0           0  0.637350864009133     
          30           0           0  0.385152180405979     
          31           0           0  0.306817692520791     
          32           0           0  0.191221002830806     
          33           0           0  2.520600010401033E-003
          34           0           0 -0.171623850645950     
          35           0           0 -0.231494800222036     
          36           0           0 -0.260607728012569     
          37           0           0 -0.383969835210219     
          38           0           0 -0.287269639240603     
          39           0           0  5.657512803099059E-003
          40           0           0  0.330923610210752     
          41           0           0  0.681453312363304     
          42           0           0  0.889370718189798     
          43           0           0  0.817291133592873     
          44           0           0  0.590371056051012     
          45           0           0  0.343337943419271     
          46           0           0  0.145563213325051     
          47           0           0  7.134253789223127E-002
          48           0           0 -3.627038449911159E-002
          49           0           0 -8.813566608893542E-002
          50           0           0 -3.571314515161694E-002
          51           0           0  3.770051433991296E-002
          52           0           0  0.148754015607286     
          53           0           0  0.125919060716990     
          54           0           0  9.830778138336967E-003
          55           0           0 -1.783062777180579E-002
          56           0           0 -2.213481642698780E-002
          57           0           0 -0.116721966524096     
          58           0           0 -0.158854173140143     
          59           0           0 -0.115691343630229     
          60           0           0 -4.985288802625187E-002
          61           0           0  2.058415318655932E-002
          62           0           0  7.070796862591322E-002
          63           0           0  0.170750322476967     
          64           0           0  0.216071084214982     
          65           0           0  9.439570337136570E-002
          66           0           0 -0.159702041464171     
          67           0           0 -0.530848867710049     
          68           0           0  -1.10048621723313     
          69           0           0  -1.56800882940944     
          70           0           0  -1.60809550812372     
          71           0           0  -1.24821542028232     
          72           0           0  0.510245737808859     
          73           0           0  0.803975370421891     
          74           0           0  0.599364845719762     
          75           0           0  0.454854780246551     
          76           0           0  0.335310789796770     
          77           0           0  0.194351609700564     
          78           0           0  0.132212079183869     
          79           0           0  3.659932174695084E-002
          80           0           0 -9.718390827548731E-002
          81           0           0 -0.274906778856119     
          82           0           0 -0.486579032232674     
          83           0           0 -0.691818786658687     
          84           0           0 -0.840375606041264     
          85           0           0 -0.963873247712950     
          86           0           0  -1.12563803771455     
          87           0           0  -1.28818624980855     
          88           0           0  -1.44708131352935     
          89           0           0  -1.67263088191729     
          90           0           0  -1.93544420703682     
          91           0           0  -2.34744376163353     
          92           0           0  -3.36874980642229     
          93           0           0  -5.67881270819677     
          94           0           0  -12.0603641203521     
          95           0           0  -11.0481127907786     
          96           0           0  0.474102699289408     
          -1           1           0  -2.45373409071905     
           0           1           0   27.5039544952119     
           1           1           0   30.5619085223606     
           2           1           0   14.0553502486251     
           3           1           0   6.89502010151866     
           4           1           0   4.15604896116913     
           5           1           0   2.42184216456654     
           6           1           0   1.22462094492394     
           7           1           0   4.00443057091416     
           8           1           0   8.00278890415616     
           9           1           0   7.05391113901476     
          10           1           0   4.57350349091649     
          11           1           0   2.13205786177058     
          12           1           0   1.32232285885425     
          13           1           0   2.72295089144001     
          14           1           0   2.06728712155980     
          15           1           0  0.495411593010633     
          16           1           0 -8.956652437842401E-002
          17           1           0  0.407720218897990     
          18           1           0   1.23460014481461     
          19           1           0  0.521437089127430     
