# Electric potential (V)/(m) (d/dx)  
          -1          -1           0  -68.1240532879806     
           0          -1           0   18.3246626241310     
           1          -1           0   54.0265032123944     
           2          -1           0   39.3623756878391     
           3          -1           0   27.2984236104860     
           4          -1           0   19.6938411075037     
           5          -1           0   14.2509669516664     
           6          -1           0   8.19912165287977     
           7          -1           0   3.10465495871921     
           8          -1           0  0.361261252307439     
           9          -1           0 -0.797924465938203     
          10          -1           0  -2.57396442240472     
          11          -1           0  -6.63505546666387     
          12          -1           0  -10.7857527676788     
          13          -1           0  -13.2082709662461     
          14          -1           0  -15.1718879518860     
          15          -1           0  -16.3008586945365     
          16          -1           0  -17.4215833776700     
          17          -1           0  -17.4920212073180     
          18          -1           0  -15.9393018680368     
          19          -1           0  -15.5259689188090     
          20          -1           0  -15.5146830822514     
          21          -1           0  -14.3336748895447     
          22          -1           0  -11.5698668497474     
          23          -1           0  -6.89715251340544     
          24          -1           0   2.22139694412133     
          25          -1           0 -0.988268040726417     
          26          -1           0  -4.06040946890112     
          27          -1           0  -5.44209327743039     
          28          -1           0  -5.09348688421848     
          29          -1           0  -4.07730399660724     
          30          -1           0  -3.00509125965602     
          31          -1           0  -2.01805695301066     
          32          -1           0  -1.10922330701423     
          33          -1           0 -0.257277240495334     
          34          -1           0  0.524726554539842     
          35          -1           0   1.23623482899725     
          36          -1           0   1.87594274259911     
          37          -1           0   2.38078475156872     
          38          -1           0   2.50818044731538     
          39          -1           0   2.01526197936212     
          40          -1           0  0.848151128805086     
          41          -1           0 -0.958974876189307     
          42          -1           0  -2.94582726354038     
          43          -1           0  -4.34028560748910     
          44          -1           0  -4.80937496839879     
          45          -1           0  -4.45102887993180     
          46          -1           0  -3.65114601296022     
          47          -1           0  -2.76505368515724     
          48          -1           0  -1.93442123470821     
          49          -1           0  -1.19960476103820     
          50          -1           0 -0.530741556304289     
          51          -1           0  2.444937139560066E-002
          52          -1           0  0.364278402704409     
          53          -1           0  0.479172228435934     
          54          -1           0  0.382240261557993     
          55          -1           0  0.113635910581329     
          56          -1           0 -0.229137847153974     
          57          -1           0 -0.532178230172178     
          58          -1           0 -0.687709949270586     
          59          -1           0 -0.657424775660746     
          60          -1           0 -0.443041298427898     
          61          -1           0 -2.146814363864303E-002
          62          -1           0  0.603523438997394     
          63          -1           0   1.38420721843222     
          64          -1           0   2.33202742096091     
          65          -1           0   3.52512889771586     
          66          -1           0   5.04204151893059     
          67          -1           0   6.83550109654875     
          68          -1           0   8.38449948536101     
          69          -1           0   8.43652686040605     
          70          -1           0   6.42744192011998     
          71          -1           0   3.72245263903731     
          72          -1           0  -2.01786988592524     
          73          -1           0   2.86688488790884     
          74          -1           0   6.33038354459543     
          75          -1           0   7.67405026066669     
          76          -1           0   7.96344030823902     
          77          -1           0   8.04235903651088     
          78          -1           0   7.44272573867686     
          79          -1           0   5.90179483094093     
          80          -1           0   5.22269747775391     
          81          -1           0   4.55144586359939     
          82          -1           0   3.99454741222065     
          83          -1           0   3.26704785538969     
          84          -1           0   2.41482612145592     
          85          -1           0   1.94845641369575     
          86          -1           0  0.472608825178937     
          87          -1           0  -1.65009507804549     
          88          -1           0  -3.52715338412788     
          89          -1           0  -5.58849997260003     
          90          -1           0  -8.23624507936633     
          91          -1           0  -11.3872984683047     
          92          -1           0  -15.4416976632255     
          93          -1           0  -21.5434089678439     
          94          -1           0  -34.7279731497622     
          95          -1           0  -26.0148141763777     
          96          -1           0   9.63667045469972     
          -1           0           0   103.905039082587     
           0           0           0   98.4801114106550     
           1           0           0   81.2323021700825     
           2           0           0   58.3699379916813     
           3           0           0   44.1100190188775     
           4           0           0   35.0381977450830     
           5           0           0   28.2432934969266     
           6           0           0   21.0147034972887     
           7           0           0   14.7914880121505     
           8           0           0   11.5034552011971     
           9           0           0   9.24368150801931     
          10           0           0   5.58637512024936     
          11           0           0  0.791996742503442     
          12           0           0  -3.23840892256614     
          13           0           0  -6.23050658174749     
          14           0           0  -8.87102415824686     
          15           0           0  -10.2165570326923     
          16           0           0  -11.8821825989025     
          17           0           0  -13.2159885930380     
          18           0           0  -12.4323337356473     
          19           0           0  -11.2074434295588     
          20           0           0  -10.9889601175324     
          21           0           0  -10.6834593650291     
          22           0           0  -8.29877684003300     
          23           0           0  -4.64400597820783     
          24           0           0 -0.300442202169559     
          25           0           0  0.172827109641543     
          26           0           0  0.596974478996132     
          27           0           0  0.930610345155663     
          28           0           0   1.00134162842133     
          29           0           0  0.789189648800757     
          30           0           0  0.586406215014398     
          31           0           0  0.370930593099752     
          32           0           0  0.124130246980369     
          33           0           0 -4.193239065290646E-002
          34           0           0 -0.255427089465443     
          35           0           0 -0.463198224621340     
          36           0           0 -0.573978252101656     
          37           0           0 -0.655523700673061     
          38           0           0 -0.722227896269451     
          39           0           0 -0.611801253828151     
          40           0           0 -0.281199054625392     
          41           0           0  9.406519393095900E-002
          42           0           0  0.472493807449593     
          43           0           0  0.729449263619201     
          44           0           0  0.803197923601336     
          45           0           0  0.734213175026993     
          46           0           0  0.521827306054847     
          47           0           0  0.324028324775907     
          48           0           0  0.207047292203255     
          49           0           0  0.123415376423125     
          50           0           0  6.336864209627587E-002
          51           0           0  2.804156769441147E-002
          52           0           0  4.434795371467389E-002
          53           0           0  8.196072407743039E-002
          54           0           0  0.110531246571505     
          55           0           0  0.123455249189985     
          56           0           0  0.156365902743678     
          57           0           0  0.169346519608569     
          58           0           0  0.123489811806556     
          59           0           0  0.101273726239803     
          60           0           0  9.836409431099140E-002
          61           0           0  8.674355827335906E-002
          62           0           0  8.959595492954200E-002
          63           0           0  5.983323480356480E-002
          64           0           0 -6.053085371547048E-002
          65           0           0 -0.304826349428126     
          66           0           0 -0.652130038334864     
          67           0           0  -1.03704864440716     
          68           0           0  -1.39605714192308     
          69           0           0  -1.57072559095900     
          70           0           0  -1.41174725590524     
          71           0           0 -0.946888293364315     
          72           0           0  -1.33582476345580     
          73           0           0   2.88452313151924     
          74           0           0   6.12005283575883     
          75           0           0   7.26582441382780     
          76           0           0   7.46219556899810     
          77           0           0   7.41629821431866     
          78           0           0   6.61470448133476     
          79           0           0   4.86073489084853     
          80           0           0   3.91471039294756     
          81           0           0   2.85739454994225     
          82           0           0   1.82304491492565     
          83           0           0  0.599844448184685     
          84           0           0 -0.803046725424823     
          85           0           0  -1.86121497618866     
          86           0           0  -3.93539871645545     
          87           0           0  -6.74171587540355     
          88           0           0  -9.50652159701180     
          89           0           0  -12.8752159110428     
          90           0           0  -17.1224903918385     
          91           0           0  -21.7152429034701     
          92           0           0  -27.4585718936697     
          93           0           0  -35.9809091213793     
          94           0           0  -53.3483469422500     
          95           0           0  -75.0640877200011     
          96           0           0  -94.3019217815121     
          -1           1           0   109.462329596979     
           0           1           0   102.820012232877     
           1           1           0   85.5176551940859     
           2           1           0   62.8308699207566     
           3           1           0   46.6102253082278     
