# Electric potential (V)/(m) (d/dx)  
          -1          -1           0  -46.0935723427792     
           0          -1           0   5.34203287322586     
           1          -1           0   34.7604909184431     
           2          -1           0   37.4377012231917     
           3          -1           0   33.4142772908877     
           4          -1           0   27.6615818706977     
           5          -1           0   23.0212273149857     
           6          -1           0   19.3320626560076     
           7          -1           0   16.3035089782993     
           8          -1           0   13.6096873845328     
           9          -1           0   11.5033533061777     
          10          -1           0   10.0522615329626     
          11          -1           0   7.75379480999601     
          12          -1           0   4.26194706870326     
          13          -1           0   2.03620116015530     
          14          -1           0  0.891015308244434     
          15          -1           0 -0.820002048879123     
          16          -1           0  -1.73997192998903     
          17          -1           0  -1.33759410474846     
          18          -1           0  -2.65457261868512     
          19          -1           0  -5.55060072047184     
          20          -1           0  -7.34149966962742     
          21          -1           0  -6.84447753977814     
          22          -1           0  -4.70020286074828     
          23          -1           0 -0.966727926286201     
          24          -1           0   4.00045034552265     
          25          -1           0   1.74142535616449     
          26          -1           0 -0.812563629544559     
          27          -1           0  -2.72011167927301     
          28          -1           0  -3.48341670492161     
          29          -1           0  -3.43239954919157     
          30          -1           0  -2.93868839549516     
          31          -1           0  -2.21199490670654     
          32          -1           0  -1.37076462565419     
          33          -1           0 -0.499601065236602     
          34          -1           0  0.323964606475035     
          35          -1           0   1.02914252525436     
          36          -1           0   1.54254150266934     
          37          -1           0   1.76746382086768     
          38          -1           0   1.55470724262105     
          39          -1           0  0.794149849215803     
          40          -1           0 -0.466875377322594     
          41          -1           0  -2.04352447945320     
          42          -1           0  -3.56264839556810     
          43          -1           0  -4.60387849228197     
          44          -1           0  -4.99319527251801     
          45          -1           0  -4.78328188078806     
          46          -1           0  -4.18636480029983     
          47          -1           0  -3.42546362018863     
          48          -1           0  -2.63701066394184     
          49          -1           0  -1.89321598621779     
          50          -1           0  -1.22319433647729     
          51          -1           0 -0.675718218794872     
          52          -1           0 -0.309200645849869     
          53          -1           0 -0.129217120936768     
          54          -1           0 -0.118504346964877     
          55          -1           0 -0.235392012239926     
          56          -1           0 -0.402656794377304     
          57          -1           0 -0.526848939282550     
          58          -1           0 -0.527205662829577     
          59          -1           0 -0.366020787841716     
          60          -1           0 -2.526227933494199E-002
          61          -1           0  0.509042289787088     
          62          -1           0   1.22987779214917     
          63          -1           0   2.11121065462665     
          64          -1           0   3.14300523759956     
          65          -1           0   4.32382562928691     
          66          -1           0   5.62139835028783     
          67          -1           0   6.89795491416574     
          68          -1           0   7.76950263880942     
          69          -1           0   7.64003855466151     
          70          -1           0   6.39999446094046     
          71          -1           0   4.89823503655918     
          72          -1           0   2.86985997994968     
          73          -1           0   4.90911022991673     
          74          -1           0   6.32865980307980     
          75          -1           0   8.22803752829268     
          76          -1           0   10.0940751386697     
          77          -1           0   11.3105094753767     
          78          -1           0   11.0890441007922     
          79          -1           0   9.54915226698602     
          80          -1           0   7.98044482699899     
          81          -1           0   6.36679588001102     
          82          -1           0   4.47727980279143     
          83          -1           0   2.70632333987297     
          84          -1           0  0.956388424435270     
          85          -1           0  -1.31887226295653     
          86          -1           0  -3.73961909380414     
          87          -1           0  -5.89875664957813     
          88          -1           0  -8.74260408811987     
          89          -1           0  -12.5167520142489     
          90          -1           0  -17.4923611707350     
          91          -1           0  -23.5707078047566     
          92          -1           0  -30.4454938119744     
          93          -1           0  -39.2437285493549     
          94          -1           0  -54.3393333801246     
          95          -1           0  -33.5760175798882     
          96          -1           0   28.2534142299343     
          -1           0           0   31.3039314862153     
           0           0           0   52.0146677675523     
           1           0           0   58.6249239968778     
           2           0           0   51.3221882535284     
           3           0           0   43.9910057149402     
           4           0           0   37.3295402608762     
           5           0           0   32.0502540148847     
           6           0           0   27.8033604690583     
           7           0           0   24.5392069880883     
           8           0           0   21.5192834206322     
           9           0           0   18.9446916204960     
          10           0           0   16.3278835820206     
          11           0           0   13.2496256233748     
          12           0           0   10.3536215857541     
          13           0           0   8.25965154200740     
          14           0           0   6.86971193302159     
          15           0           0   5.38523051432073     
          16           0           0   4.50090043339015     
          17           0           0   3.65184309238774     
